family,severity,architecture,n,success_rate,mean_progress
control-dropout,LOW,R0,9,1.0,0.9999977942259856
control-dropout,LOW,R1,9,1.0,0.9999977270459122
control-dropout,LOW,R2,9,1.0,0.9999977258607878
control-dropout,LOW,R3,9,1.0,0.9999977942259856
control-dropout,HIGH,R0,10,1.0,0.9999972674090631
control-dropout,HIGH,R1,10,0.0,0.0
control-dropout,HIGH,R2,10,1.0,0.9999972233818923
control-dropout,HIGH,R3,10,1.0,0.9999972674090631
control-impulse,LOW,R0,10,1.0,0.9999975591171383
control-impulse,LOW,R1,10,1.0,0.9999975591171383
control-impulse,LOW,R2,10,1.0,0.9999975591171383
control-impulse,LOW,R3,10,1.0,0.9999975591171383
control-impulse,HIGH,R0,8,1.0,0.9999974358947639
control-impulse,HIGH,R1,8,1.0,0.9999972262882324
control-impulse,HIGH,R2,8,1.0,0.9999971382379179
control-impulse,HIGH,R3,8,1.0,0.9999974358947639
motion-path-infeasible,LOW,R0,10,0.0,0.2628443374635702
motion-path-infeasible,LOW,R1,10,0.0,0.05994261184754028
motion-path-infeasible,LOW,R2,10,1.0,0.999997674608655
motion-path-infeasible,LOW,R3,10,1.0,0.999997674608655
motion-path-infeasible,HIGH,R0,10,0.0,0.2605085976543611
motion-path-infeasible,HIGH,R1,10,0.0,0.05894774038892604
motion-path-infeasible,HIGH,R2,10,1.0,0.9999978560762927
motion-path-infeasible,HIGH,R3,10,0.9,0.9131544606924795
motion-target-shift,LOW,R0,10,0.0,0.0
motion-target-shift,LOW,R1,10,1.0,0.9999973104705004
motion-target-shift,LOW,R2,10,1.0,0.9999974015404719
motion-target-shift,LOW,R3,10,1.0,0.9999974015404719
motion-target-shift,HIGH,R0,10,0.0,0.0
motion-target-shift,HIGH,R1,10,1.0,0.9999975122783396
motion-target-shift,HIGH,R2,10,1.0,0.9999975663832155
motion-target-shift,HIGH,R3,10,1.0,0.9999975663832155
semantic-object-unavailable,LOW,R0,10,0.0,0.0021730461596438603
semantic-object-unavailable,LOW,R1,10,1.0,0.9999983483665706
semantic-object-unavailable,LOW,R2,10,1.0,0.9999982760888674
semantic-object-unavailable,LOW,R3,10,1.0,0.9999983483665706
semantic-object-unavailable,HIGH,R0,10,0.0,0.04778846119290942
semantic-object-unavailable,HIGH,R1,10,1.0,0.9999983631575271
semantic-object-unavailable,HIGH,R2,10,1.0,0.9999983142475578
semantic-object-unavailable,HIGH,R3,10,1.0,0.9999983631575271
semantic-restriction-change,LOW,R0,10,0.0,0.0020671168050688587
semantic-restriction-change,LOW,R1,10,1.0,0.9999984560480423
semantic-restriction-change,LOW,R2,10,1.0,0.9999984002073257
semantic-restriction-change,LOW,R3,10,1.0,0.9999984560480423
semantic-restriction-change,HIGH,R0,10,0.0,0.04697597022365622
semantic-restriction-change,HIGH,R1,10,1.0,0.9999985387479647
semantic-restriction-change,HIGH,R2,10,1.0,0.9999985169707927
semantic-restriction-change,HIGH,R3,10,1.0,0.9999985387479647
