graph,category,series,value
success-progress,R0,success,0.3275862068965517
success-progress,R1,success,0.7586206896551724
success-progress,R2,success,1.0
success-progress,R3,success,1.0
success-progress,R0,progress,0.3799912799824104
success-progress,R1,progress,0.7688979478067824
success-progress,R2,progress,0.9999979133127038
success-progress,R3,progress,0.9999979025030192
wake-profiles,R0,mean_wakes,1.6724137931034482
wake-profiles,R1,mean_wakes,0.9396551724137931
wake-profiles,R2,mean_wakes,1.7844827586206897
wake-profiles,R3,mean_wakes,1.1120689655172413
family-heterogeneity,control-dr,LOW,1.0
family-heterogeneity,control-im,LOW,1.0
family-heterogeneity,motion-pat,LOW,1.0
family-heterogeneity,motion-tar,LOW,1.0
family-heterogeneity,semantic-o,LOW,1.0
family-heterogeneity,semantic-r,LOW,1.0
family-heterogeneity,control-dr,HIGH,1.0
family-heterogeneity,control-im,HIGH,1.0
family-heterogeneity,motion-pat,HIGH,1.0
family-heterogeneity,motion-tar,HIGH,1.0
family-heterogeneity,semantic-o,HIGH,1.0
family-heterogeneity,semantic-r,HIGH,1.0
controller-sensitivity,success,P4-P6,-0.35
controller-sensitivity,progress,P4-P6,-0.30013229896745075
